id,home,wallbox,lowerBound
100000,c,False,0.2
100002,c,False,0.2
100005,c,True,0.47836923076923077
10001,c,False,0.2
100015,c,False,0.2
100026,c,False,0.2
100027,c,False,0.2
100030,c,False,0.2
100039,c,True,0.2
10004,c,False,0.33105
100041,c,True,0.2
100042,c,False,0.2
100043,c,False,0.2
100051,c,True,0.2
100056,c,True,0.2
100058,c,True,0.2
100067,c,True,0.2
100069,c,True,0.2429
10007,c,True,0.2
100084,c,False,0.2
100085,c,False,0.4604346153846154
100086,c,False,0.2
100088,c,False,0.2
100089,c,False,0.2
100090,c,False,0.2
100091,c,False,0.2523961538461538
100092,c,True,0.35468846153846156
100096,c,False,0.30965769230769236
100097,c,True,0.33005384615384614
100099,c,False,0.2
100100,c,False,0.40902307692307693
100104,c,True,0.2
100105,c,False,0.2
10011,c,False,0.2766346153846154
100114,c,False,0.2
100125,c,False,0.2
100126,c,False,0.2
100127,c,False,0.2
100132,c,False,0.2
100134,c,True,0.2
100135,c,True,0.2
100138,c,False,0.2
100142,c,True,0.37790384615384615
100148,c,True,0.2
100155,c,False,0.3448423076923077
100156,c,False,0.2
100158,c,False,0.2
100161,c,False,0.2
100163,c,True,0.2
100165,c,True,0.2
100166,c,True,0.2127653846153846
10017,c,False,0.29518076923076925
100172,c,False,0.8996846153846153
100173,c,True,0.2
100176,c,False,0.2
100178,c,False,0.2
100182,c,True,0.2
100186,c,True,0.2
100187,c,False,0.2
100198,c,False,0.2
100200,c,True,0.2
100201,c,True,0.2
100203,c,True,0.2
100204,c,False,0.2
100205,c,False,0.2
100206,c,False,0.2
100208,c,True,0.2
100209,c,False,0.33501153846153847
100210,c,True,0.2671192307692308
100214,c,True,0.2
100218,c,False,0.2
10022,c,True,0.2
100221,c,False,0.2
100229,c,True,0.2
100230,c,False,0.21307692307692308
100233,c,False,0.4671653846153846
100237,c,False,0.2
100238,c,False,0.2
10024,c,False,0.4242653846153846
100247,c,False,0.26266153846153845
100251,c,False,0.2
100252,c,False,0.2
100254,c,False,0.4887730769230769
100255,c,False,0.2
100258,c,True,0.2
100261,c,True,0.6069807692307693
100269,c,True,0.2
100272,c,False,0.2
100278,c,True,0.2
100279,c,True,0.2
100292,c,True,0.6591423076923077
100295,c,False,0.2
100296,c,True,0.2
